clientnum,attrition_flag,gender_F,gender_M,education_level_College,education_level_Doctorate,education_level_Graduate,education_level_High School,education_level_Post-Graduate,education_level_Uneducated,education_level_Unknown,customer_age,dependent_count,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,total_amt_chng_q4_q1,total_trans_amt,total_trans_ct,total_ct_chng_q4_q1,avg_utilization_ratio
779040408,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2046971443920913,-0.2704952811679882,0.12897526506788998,-0.5311904933323828,-1.3295771691166045,-0.41099222571406885,0.3965388839236071,0.6707135039493376,0.3391432079690474,-0.855777446424778,-1.3439084658839728,-0.8824760516023594,-0.48334980712068015
714212358,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.044469434865005,0.49792141077136504,0.0034324754509084295,-1.8231800057933567,0.6741016508438329,-0.41099222571406885,-0.36900601025575197,0.6756303173370369,-1.818469839175734,-0.6618276716007054,-0.32875201975512397,-0.14695555925387907,0.18822730284841394
714383583,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9195157360173885,-0.2704952811679882,0.0034324754509084295,0.7607990191285913,0.6741016508438329,0.4940072117026723,1.7017591918728106,0.6633382838677886,0.3527702377404881,1.2379454239652103,1.363175390459624,0.7975196184208738,-0.7351912233590905
779536233,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08011385476354317,1.2663381027107183,-0.7498242622509809,-1.8231800057933567,-1.3295771691166045,-1.31599166313081,-0.7917314721955376,-0.6826393810149018,1.0931721886554344,0.07629142626139004,0.7710007968844622,0.0745364071919698,0.5313156090282771
720512433,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2046971443920913,-1.0389119731073415,0.0034324754509084295,1.4067937753590782,1.6759410608240515,0.4940072117026723,0.7325778072752749,1.382422241818815,0.33005852145475356,0.9397184358697613,0.5595098706076187,0.9981161163340954,-0.446851051144099
797232183,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5446546394745391,1.2663381027107183,0.0034324754509084295,-1.1771852495628699,-1.3295771691166045,-1.31599166313081,-0.6548271353185267,0.9903063741497938,-0.41488577271733906,0.1788160813265248,0.4326153148415126,0.312744748463921,1.6810264222905849
721491258,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8298360478492419,1.2663381027107183,0.0034324754509084295,-0.5311904933323828,-0.3277377591363858,-0.41099222571406885,-0.5167834959693228,1.6725142316930752,-1.1280336640894038,-0.8735951215215678,-1.470803021650079,-0.1845674026126082,1.345237867306038
716685033,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.044469434865005,-1.0389119731073415,-2.130794948037778,-1.8231800057933567,-1.3295771691166045,-0.41099222571406885,-0.3359330549950052,0.5453347625630048,-0.19685329637428775,0.27345422446357226,0.7287026116290936,0.6387140575729063,0.05683178133272149
716159958,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33002125245877606,-0.2704952811679882,0.0034324754509084295,-1.1771852495628699,-1.3295771691166045,-0.41099222571406885,-0.2623761478097323,0.21222065554637548,-0.08783705820276186,2.8713296721824,1.1939826494381491,0.18319284356163174,-0.21325901289397933
719945433,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.704511939782557,-1.0389119731073415,1.509945950854687,-0.5311904933323828,-0.3277377591363858,-0.41099222571406885,-0.7218579409640535,-1.4213905925167256,-0.23319204243146305,-0.763768140597093,-0.49794476077659877,1.0524443345189263,-0.994332390792817
